Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Box Package Type (product.metafields.custom.box_package_type),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Gemstone type (product.metafields.shopify.gemstone-type),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Stone shape (product.metafields.shopify.stone-shape),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Arab Emirates,Price / United Arab Emirates,Compare At Price / United Arab Emirates,Included / Bahrain,Price / Bahrain,Compare At Price / Bahrain,Included / Kuwait,Price / Kuwait,Compare At Price / Kuwait,Included / Oman,Price / Oman,Compare At Price / Oman,Included / Qatar,Price / Qatar,Compare At Price / Qatar,Included / Rest Of the World,Price / Rest Of the World,Compare At Price / Rest Of the World,Included / Saudi,Price / Saudi,Compare At Price / Saudi,Status
charmaine-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,white,,,a,,,18cm,,999032204C1B18,0.0,shopify,0,deny,manual,780.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_4325597d-309f-49ae-839d-8fcfe5bea30b.jpg?v=1788012363,2,"",,,,,,,,,,,,,,,,,,,,,,kg,,0.00,,,,,,,,,,,,,,,,,,,,,,
charmaine-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/w_83786d12-cf18-4f0f-a873-10cb9dcf21fb.jpg?v=1788012363,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charmaine-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/r_ffe3313f-5943-4808-aabf-41545dbcb3f9.jpg?v=1788012363,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charmaine-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/e_8c8a4ae7-51c4-416d-b687-8f4772636801.jpg?v=1788012362,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adaliya-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Adaliya Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,"<p class=""PDq2pG_selectionAnchorContainer"">Elevate your bridal elegance with the <strong>Adaliya Luxury Bridal Full Set</strong>, featuring high-quality simulated diamonds that create a brilliant and sophisticated sparkle. The refined rhodium-plated finish enhances the brilliance of the stones, giving the set a luxurious shine and timeless appeal.</p>
<p>Designed to complement <strong>GCC bridal fashion</strong>, the Adaliya set pairs beautifully with traditional Gulf bridal dresses, elegant kaftans, abayas, and modern wedding gowns. Perfect for <strong>weddings, engagements, henna nights, Eid celebrations, and formal evening occasions</strong>, this elegant set adds a graceful and glamorous finishing touch to any special look.</p>
<p><strong>Highlights:</strong></p>
<ul>
<li>High-Quality Simulated Diamonds</li>
<li>Elegant Luxury Bridal Design</li>
<li>Rhodium-Plated Finish</li>
<li>Complete Bridal Jewelry Set</li>
<li>Timeless and Sophisticated Style</li>
<li>Perfect for GCC Weddings &amp; Engagements</li>
<li>Ideal for Henna Nights, Eid &amp; Special Occasions</li>
<li>Elegant Choice for Bridal Wear &amp; Gifting</li>
</ul>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Jewelry Sets,Luxury Sets,Luxury Sets,true,Color,white,product.metafields.shopify.color-pattern,Ring size,a,product.metafields.shopify.ring-size,Bracelet size,16cm,,999029883C1B16,0.0,shopify,14,deny,manual,1200.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_635a7e52-d4b3-42ce-a734-06ca11fced8b.jpg?v=1788010787,1,"",false,,,,,,white,,,rhodium-plated-1,imitation-jewelry,choker,,a,,,,,,,,kg,,0.00,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
adaliya-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,white,,,a,,,18cm,,999029883C1B18,0.0,shopify,8,deny,manual,1200.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_815b277c-b7b7-4bd5-a75f-61bdfead8962.jpg?v=1788010787,2,"",,,,,,,,,,,,,,,,,,,,,,kg,,0.00,,,,,,,,,,,,,,,,,,,,,,
adaliya-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/w_ef807cb3-0632-4572-bc65-58ca117df2b3.jpg?v=1788010787,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adaliya-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/r_39934519-21bf-4474-b472-0fb57dc7ef38.jpg?v=1788010787,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adaliya-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/e_1bc99d4e-63f6-4eff-aee5-ccf1ae3fe70c.jpg?v=1788010787,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-green-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Christine Green Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,"<p class=""PDq2pG_selectionAnchorContainer"">Elevate your bridal look with the <strong>Christine Green Luxury Bridal Full Set</strong>, featuring high-quality simulated diamonds with elegant green accents that create a brilliant and sophisticated sparkle. The rich green details add a distinctive touch of luxury, while the refined rhodium-plated finish enhances the brilliance and shine of the set.</p>
<p>Designed to complement <strong>GCC bridal fashion</strong>, the Christine Green set pairs beautifully with traditional Gulf bridal dresses, elegant kaftans, abayas, and modern wedding gowns. Perfect for <strong>weddings, engagements, henna nights, Eid celebrations, and formal evening occasions</strong>, this luxurious set adds a graceful and eye-catching finishing touch to any special look.</p>
<p><strong>Highlights:</strong></p>
<ul>
<li>High-Quality Simulated Diamonds</li>
<li>Elegant Green Stone Details</li>
<li>Rhodium-Plated Finish</li>
<li>Luxury Full Bridal Set</li>
<li>Sophisticated and Glamorous Design</li>
<li>Perfect for GCC Weddings &amp; Engagements</li>
<li>Ideal for Henna Nights, Eid &amp; Special Occasions</li>
<li>Elegant Choice for Bridal Wear &amp; Gifting</li>
</ul>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Jewelry Sets,Luxury Sets,"",true,Color,green,product.metafields.shopify.color-pattern,Ring size,a,product.metafields.shopify.ring-size,Bracelet size,16cm,,999019371C3B16,0.0,shopify,8,deny,manual,780.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_66a6e285-e250-45ab-b76f-7fff42b75695.jpg?v=1788008939,1,"",false,,,,,,green,,,rhodium-plated-1,imitation-jewelry,choker,,a,,,,,,,,kg,,0.00,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
christine-green-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,green,,,a,,,18cm,,999019371C3B18,0.0,shopify,4,deny,manual,780.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_1e9c47c1-a726-48bd-88b2-33738278afa9.jpg?v=1788008938,2,"",,,,,,,,,,,,,,,,,,,,,,kg,,0.00,,,,,,,,,,,,,,,,,,,,,,
christine-green-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/w_fe45276e-5d58-4a2d-ad68-11ef7853495f.jpg?v=1788008938,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-green-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/r_b82dd6e7-e938-4e35-9865-1d1b38d58ab8.jpg?v=1788008938,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-green-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/e_e64fa3dd-13d8-432f-b131-319213c01083.jpg?v=1788008939,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-pink-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Christine Pink Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,"<p class=""PDq2pG_selectionAnchorContainer"">Add a touch of elegance and feminine charm to your bridal look with the <strong>Christine Pink Luxury Bridal Full Set</strong>, featuring high-quality simulated diamonds with beautiful pink accents that create a brilliant and sophisticated sparkle. The refined rhodium-plated finish enhances the shine of the stones, giving the set a luxurious and polished appearance.</p>
<p>Designed to complement <strong>GCC bridal fashion</strong>, the Christine Pink set pairs beautifully with traditional Gulf bridal dresses, elegant kaftans, abayas, and modern wedding gowns. Perfect for <strong>weddings, engagements, henna nights, Eid celebrations, and formal evening occasions</strong>, this elegant set adds a graceful and glamorous finishing touch to any special look.</p>
<p><strong>Highlights:</strong></p>
<ul>
<li>High-Quality Simulated Diamonds</li>
<li>Elegant Pink Stone Details</li>
<li>Rhodium-Plated Finish</li>
<li>Luxury Full Bridal Set</li>
<li>Sophisticated and Feminine Design</li>
<li>Perfect for GCC Weddings &amp; Engagements</li>
<li>Ideal for Henna Nights, Eid &amp; Special Occasions</li>
<li>Elegant Choice for Bridal Wear &amp; Gifting</li>
</ul>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Jewelry Sets,Luxury Sets,Luxury Sets,true,Color,pink,product.metafields.shopify.color-pattern,Ring size,a,product.metafields.shopify.ring-size,Bracelet size,16cm,,999019371C5B16,0.0,shopify,8,deny,manual,780.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_dbec2c54-9d18-4e28-afe8-2bf1c3bc7b87.jpg?v=1788008119,1,"",false,,,,,,pink,,,rhodium-plated-1,imitation-jewelry,pendant,,a,,,,,,,,kg,,0.00,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
christine-pink-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,pink,,,a,,,18cm,,999019371C5B18,0.0,shopify,4,deny,manual,780.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_5264a497-0b7f-4786-8252-d9ce27bcc726.jpg?v=1788008119,2,"",,,,,,,,,,,,,,,,,,,,,,kg,,0.00,,,,,,,,,,,,,,,,,,,,,,
christine-pink-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/w_525f7eb1-d427-4307-852a-44038351e415.jpg?v=1788008119,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-pink-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/r_219ca322-4284-4dd2-a0c6-cc2892f8495c.jpg?v=1788008119,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-pink-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/e_ffe7bcca-500e-43af-91fc-c54e735e5ca4.jpg?v=1788008119,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-blue-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Christine Blue Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,"<p class=""PDq2pG_selectionAnchorContainer"">Elevate your bridal look with the <strong>Christine Blue Luxury Bridal Full Set</strong>, featuring high-quality simulated diamonds with elegant blue accents that create a brilliant and sophisticated sparkle. The rich blue details add a distinctive touch of elegance, while the refined rhodium-plated finish enhances the brilliance and luxurious shine of the set.</p>
<p>Designed to complement <strong>GCC bridal fashion</strong>, the Christine Blue set pairs beautifully with traditional Gulf bridal dresses, elegant kaftans, abayas, and modern wedding gowns. Perfect for <strong>weddings, engagements, henna nights, Eid celebrations, and formal evening occasions</strong>, this stunning set adds a graceful and glamorous finishing touch to any special look.</p>
<p><strong>Highlights:</strong></p>
<ul>
<li>High-Quality Simulated Diamonds</li>
<li>Elegant Blue Stone Details</li>
<li>Rhodium-Plated Finish</li>
<li>Luxury Full Bridal Set</li>
<li>Sophisticated and Glamorous Design</li>
<li>Perfect for GCC Weddings &amp; Engagements</li>
<li>Ideal for Henna Nights, Eid &amp; Special Occasions</li>
<li>Elegant Choice for Bridal Wear &amp; Gifting</li>
</ul>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Jewelry Sets,Luxury Sets,Luxury Sets,true,Color,blue,product.metafields.shopify.color-pattern,Ring size,a,product.metafields.shopify.ring-size,Bracelet size,16cm,,999019371C4B16,0.0,shopify,7,deny,manual,780.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_73cb7a7c-a6a3-452f-9e2e-33dc3c3395b9.jpg?v=1787995364,1,"",false,,,,,,blue,,,rhodium-plated-1,imitation-jewelry,pendant,,a,,,,,,,,kg,,0.00,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
christine-blue-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,blue,,,a,,,18cm,,999019371C4B18,0.0,shopify,4,deny,manual,780.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_fa71ee05-28f1-43fa-ba9d-f42d8ea38ceb.jpg?v=1787995364,2,"",,,,,,,,,,,,,,,,,,,,,,kg,,0.00,,,,,,,,,,,,,,,,,,,,,,
christine-blue-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/w_de964e95-40a9-4c2d-b2ef-a7d0a9d6ffdf.jpg?v=1787995364,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-blue-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/t_8bd31e23-5c88-4daa-84a8-574fb88d4e04.jpg?v=1787995364,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-blue-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/r_fb966bcf-822b-413f-9413-32f0adc1176c.jpg?v=1787995364,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-yellow-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Christine Yellow Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,"<p class=""PDq2pG_selectionAnchorContainer"">Elevate your bridal look with the <strong>Christine Yellow Luxury Bridal Full Set</strong>, featuring high-quality simulated diamonds that create a brilliant and glamorous sparkle. The elegant yellow-gold tone adds warmth and sophistication, while the refined rhodium-plated finish enhances the shine for a luxurious and polished appearance.</p>
<p>Designed to complement <strong>GCC bridal fashion</strong>, the Christine Yellow set pairs beautifully with traditional Gulf bridal dresses, elegant kaftans, abayas, and modern wedding gowns. Perfect for <strong>weddings, engagements, henna nights, Eid celebrations, and formal evening occasions</strong>, this stunning set adds a graceful and luxurious finishing touch to any special look.</p>
<p><strong>Highlights:</strong></p>
<ul>
<li>High-Quality Simulated Diamonds</li>
<li>Elegant Yellow-Gold Tone</li>
<li>Rhodium-Plated Finish</li>
<li>Luxury Full Bridal Set</li>
<li>Sophisticated and Glamorous Design</li>
<li>Perfect for GCC Weddings &amp; Engagements</li>
<li>Ideal for Henna Nights, Eid &amp; Special Occasions</li>
<li>Elegant Choice for Bridal Wear &amp; Gifting</li>
</ul>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Jewelry Sets,Luxury Sets,Luxury Sets,true,Color,yellow,product.metafields.shopify.color-pattern,Ring size,a,product.metafields.shopify.ring-size,Bracelet size,16cm,,999019371C6B16,0.0,shopify,7,deny,manual,780.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_30b43177-9d22-4f38-a29c-b64eec6873c3.jpg?v=1787994507,1,"",false,,,,,,yellow,,,rhodium-plated-1,imitation-jewelry,pendant,,a,,,,,,,,kg,,0.00,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
christine-yellow-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,yellow,,,a,,,18cm,,999019371C6B18,0.0,shopify,4,deny,manual,780.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_8bd48c0e-0ff7-4d7b-b169-26088ad2f133.jpg?v=1787994507,2,"",,,,,,,,,,,,,,,,,,,,,,kg,,0.00,,,,,,,,,,,,,,,,,,,,,,
christine-yellow-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/w_a3b64376-7582-45f7-95db-441bc2ab09d0.jpg?v=1787994507,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-yellow-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/r_fe2b3355-3e11-4619-a6dc-2744a20957c7.jpg?v=1787994507,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-yellow-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/e_d7b5c515-ba57-40a5-b407-53390d4f09bb.jpg?v=1787994507,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-red-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Christine Red Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,"<p class=""PDq2pG_selectionAnchorContainer"">Make a stunning statement with the <strong>Christine Red Luxury Bridal Full Set</strong>, featuring high-quality simulated diamonds with elegant red accents that create a rich and glamorous sparkle. The vibrant red details add a bold touch of sophistication, while the refined rhodium-plated finish enhances the brilliance and luxurious shine of the set.</p>
<p>Designed to complement <strong>GCC bridal fashion</strong>, the Christine Red set pairs beautifully with traditional Gulf bridal dresses, elegant kaftans, abayas, and modern wedding gowns. Perfect for <strong>weddings, engagements, henna nights, Eid celebrations, and formal evening occasions</strong>, this luxurious set adds a graceful and eye-catching finishing touch to any special look.</p>
<p><strong>Highlights:</strong></p>
<ul>
<li>High-Quality Simulated Diamonds</li>
<li>Elegant Red Stone Details</li>
<li>Rhodium-Plated Finish</li>
<li>Luxury Full Bridal Set</li>
<li>Sophisticated and Glamorous Design</li>
<li>Perfect for GCC Weddings &amp; Engagements</li>
<li>Ideal for Henna Nights, Eid &amp; Special Occasions</li>
<li>Elegant Choice for Bridal Wear &amp; Gifting</li>
</ul>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Jewelry Sets,Luxury Sets,Luxury Sets,true,Color,red,product.metafields.shopify.color-pattern,Ring size,a,product.metafields.shopify.ring-size,Bracelet size,16cm,,999019371C2B16,0.0,shopify,8,deny,manual,780.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_dd16be49-8a85-4a1f-a78b-ecc86d0d9200.jpg?v=1787993545,1,"",false,,,,,,red,,,rhodium-plated-1,imitation-jewelry,pendant,,a,,,,,,,,kg,,0.00,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
christine-red-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,red,,,a,,,18cm,,999019371C2B18,0.0,shopify,4,deny,manual,780.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_ec4df6db-a8ce-4401-93bb-fdfd8006a9dc.jpg?v=1787993545,2,"",,,,,,,,,,,,,,,,,,,,,,kg,,0.00,,,,,,,,,,,,,,,,,,,,,,
christine-red-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/w_d3b248f4-a2ef-4b94-8dac-01bc362e1786.jpg?v=1787993545,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-red-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/r_5706ddac-1e80-4906-9984-2297f004794a.jpg?v=1787993545,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-red-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/e_3683c9bc-63cc-458b-98a1-15131861435d.jpg?v=1787993545,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-white-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Christine White Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,"<p class=""PDq2pG_selectionAnchorContainer"">Elevate your bridal look with the <strong>Christine White Luxury Bridal Full Set</strong>, featuring high-quality simulated diamonds that create a brilliant and elegant sparkle. The refined rhodium-plated finish enhances the brilliance of the stones, giving the set a luxurious shine and timeless sophistication.</p>
<p>Designed to complement <strong>GCC bridal fashion</strong>, the Christine set pairs beautifully with traditional Gulf bridal dresses, elegant kaftans, abayas, and modern wedding gowns. Perfect for <strong>weddings, engagements, henna nights, Eid celebrations, and formal evening occasions</strong>, this elegant set adds a graceful and glamorous finishing touch to any special look.</p>
<p><strong>Highlights:</strong></p>
<ul>
<li>High-Quality Simulated Diamonds</li>
<li>Elegant White Bridal Design</li>
<li>Rhodium-Plated Finish</li>
<li>Luxury Full Bridal Set</li>
<li>Timeless and Sophisticated Style</li>
<li>Perfect for GCC Weddings &amp; Engagements</li>
<li>Ideal for Henna Nights, Eid &amp; Special Occasions</li>
<li>Elegant Choice for Bridal Wear &amp; Gifting</li>
</ul>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Jewelry Sets,Luxury Sets,Luxury Sets,true,Color,white,product.metafields.shopify.color-pattern,Ring size,a,product.metafields.shopify.ring-size,Bracelet size,16cm,,999019371C1B16,0.0,shopify,15,deny,manual,780.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_f31649c3-4ddd-4662-9e4c-f6637b3ccb46.jpg?v=1787992882,1,"",false,,,,,,white,,,rhodium-plated-1,imitation-jewelry,pendant,,a,,,,,,,,kg,,0.00,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
christine-white-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,white,,,a,,,18cm,,999019371C1B18,0.0,shopify,4,deny,manual,780.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_bfa47c3b-7160-48c0-a2af-26324720de84.jpg?v=1787992882,2,"",,,,,,,,,,,,,,,,,,,,,,kg,,0.00,,,,,,,,,,,,,,,,,,,,,,
christine-white-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/w_710d1fb2-58c3-4277-af2f-2ab0ec47bd98.jpg?v=1787992882,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-white-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/r_cc55e22a-ad26-48fb-924e-54b21af5e452.jpg?v=1787992882,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christine-white-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/e_0a1d2ae2-bc16-452e-81e6-51dfe19dfdd2.jpg?v=1787992882,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
